26 Sep 2023 | 01:32:56,338 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:32:56,372 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:32:56,372 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:34:01,331 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:34:01,333 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:34:01,336 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:34:01,341 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:34:01,372 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:34:01,376 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:35:06,335 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:35:06,340 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:35:06,348 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:35:06,353 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:35:06,372 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:35:06,372 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:36:11,336 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:36:11,346 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:36:11,352 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:36:11,356 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:36:11,371 | DEBUG | pool-2-thread-7 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:36:11,375 | DEBUG | pool-2-thread-7 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:37:16,331 | DEBUG | pool-2-thread-7 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:37:16,332 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:37:16,336 | DEBUG | pool-2-thread-7 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:37:16,337 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:37:16,372 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:37:16,372 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:38:21,333 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:38:21,335 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:38:21,337 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:38:21,339 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
